frb_id,tsne_1,tsne_2,label
FRB20180725A,-30.439526,-23.628819,0
FRB20180727A,40.130928,-4.4748354,0
FRB20180729A,31.73163,44.681255,0
FRB20180729B,-28.711365,-25.662926,0
FRB20180730A,-2.9407914,53.18391,0
FRB20180801A,-31.089687,-18.616747,0
FRB20180806A,22.616259,-30.151339,0
FRB20180810A,54.818527,-7.9787173,0
FRB20180810B,22.638287,36.935116,0
FRB20180812A,15.301469,-8.275558,0
FRB20180814A,-45.24481,26.542065,1
FRB20180814B,4.489907,21.519772,0
FRB20180817A,-11.251067,-30.503756,0
FRB20180904A,33.551155,38.40562,0
FRB20180906A,49.38809,-24.069162,0
FRB20180906B,-17.778223,-36.24045,0
FRB20180907A,9.446719,39.66491,0
FRB20180907B,31.866272,-3.8493843,0
FRB20180907C,-37.26249,-23.697287,0
FRB20180907D,-37.689777,-29.433294,0
FRB20180907E,9.003208,-23.924181,0
FRB20180908B,-46.802914,-13.67718,1
FRB20180909A,39.219856,-4.676941,0
FRB20180910A,37.92997,23.836756,1
FRB20180911A,46.85873,12.936825,0
FRB20180911C,-46.677734,-13.88801,1
FRB20180912A,15.030155,-56.338764,0
FRB20180915A,-29.41582,-30.371828,0
FRB20180915B,7.2369967,42.44261,0
FRB20180916A,51.46697,17.786345,0
FRB20180916B,-46.754295,-13.902908,1
FRB20180916C,-36.537346,-26.33381,0
FRB20180917A,-60.07735,-10.910842,1
FRB20180917B,9.512921,20.403809,0
FRB20180918A,-18.692156,-32.456886,0
FRB20180919A,-42.64312,20.167896,1
FRB20180919B,51.52008,1.3767956,0
FRB20180920A,-34.866592,-37.222458,0
FRB20180920B,-32.85371,25.618574,0
FRB20180921A,28.168583,-14.785284,0
FRB20180922A,55.22514,-19.762709,0
FRB20180923A,41.29369,18.541088,0
FRB20180923C,48.43884,17.42172,0
FRB20180923D,31.088453,39.11978,0
FRB20180924A,22.329414,-42.848515,0
FRB20180925A,-34.72982,-37.23283,0
FRB20180925B,32.111576,15.020287,0
FRB20180928A,31.537481,36.326042,0
FRB20181012B,21.618805,12.414689,0
FRB20181013A,49.594414,18.611595,0
FRB20181013B,14.76862,-55.06862,0
FRB20181013C,31.102621,-7.2071123,0
FRB20181013E,14.210729,8.73028,0
FRB20181014A,-28.676666,-28.032404,0
FRB20181014B,8.771963,20.764433,0
FRB20181014C,45.01511,-22.774012,0
FRB20181014D,0.91745096,11.115944,0
FRB20181015A,50.06629,-4.0155563,0
FRB20181017A,-20.329903,-40.586037,1
FRB20181017B,-43.59064,-14.19389,0
FRB20181018A,-18.620695,-38.299236,0
FRB20181018B,37.462383,33.28203,1
FRB20181018C,45.798813,12.800895,0
FRB20181019A,-56.300488,-10.721647,1
FRB20181019B,32.12635,-9.74137,0
FRB20181019C,-28.58212,-31.422379,0
FRB20181020A,37.809036,-23.93126,0
FRB20181022A,43.859516,-2.8800657,0
FRB20181022C,32.89064,-6.746548,0
FRB20181022D,3.864685,16.039022,0
FRB20181022E,24.118605,13.122984,0
FRB20181022F,47.06749,-11.305762,0
FRB20181025A,54.620605,12.092379,0
FRB20181027A,-38.01772,-30.633232,0
FRB20181028A,-58.47092,-3.030761,1
FRB20181030A,-28.669155,-30.584814,1
FRB20181030B,-28.303793,-3.0516927,1
FRB20181030C,2.8367543,-16.457314,0
FRB20181030D,29.99945,-1.5396134,0
FRB20181030E,-3.1832826,32.68747,0
FRB20181101A,-31.443317,-43.581257,0
FRB20181102A,-23.53544,-37.31335,0
FRB20181104A,-58.299297,-8.922487,1
FRB20181104B,1.331616,-6.5775595,1
FRB20181104C,42.460323,40.067738,0
FRB20181115A,16.817537,24.44357,0
FRB20181116A,45.63886,12.202597,0
FRB20181116B,43.650444,9.177734,0
FRB20181117A,21.956717,-30.23354,0
FRB20181117B,18.507458,-25.69863,0
FRB20181117C,-28.624945,-28.700462,0
FRB20181118A,-18.39486,-36.459126,0
FRB20181118B,41.0329,-13.67422,0
FRB20181118C,-44.560802,-12.803181,1
FRB20181119A,-47.40881,2.5494566,1
FRB20181119B,-12.423012,-27.619501,0
FRB20181119C,45.698936,12.678434,0
FRB20181119D,-27.730364,-37.906567,0
FRB20181119E,40.708717,-13.592949,0
FRB20181120B,-43.911163,-21.631657,1
FRB20181120C,-53.29599,-13.962274,1
FRB20181122A,28.505596,-16.942781,0
