[I 2026-06-07 21:36:49,955] A new study created in memory with name: no-name-fb6138f3-b573-4839-8c75-5c09b7d8f67a
[I 2026-06-07 21:38:43,196] Trial 0 finished with value: 0.8116740088105727 and parameters: {'embed_dim': 64, 'contrast_dim': 16, 'mask_ratio': 0.6179665234812024, 'dropout': 0.08538795713750968, 'n_heads': 1, 'dim_feedforward': 512, 'alpha': 3.846511153481102, 'beta': 4.998030588712968, 'gamma': 0.013923356507837784, 'pos_weight_scalar': 4.001625389137135, 'LR_PATIENCE': 13, 'ES_PATIENCE': 7, 'n_blocks': 2}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:41:35,864] Trial 1 finished with value: 0.6651982378854625 and parameters: {'embed_dim': 128, 'contrast_dim': 16, 'mask_ratio': 0.2689840311351135, 'dropout': 0.37794997568507993, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 1.812603532317235, 'beta': 1.57849882467298, 'gamma': 0.01421509361585613, 'pos_weight_scalar': 4.460775558340664, 'LR_PATIENCE': 13, 'ES_PATIENCE': 22, 'n_blocks': 6}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:42:42,625] Trial 2 finished with value: 0.789647577092511 and parameters: {'embed_dim': 64, 'contrast_dim': 32, 'mask_ratio': 0.7336850131540181, 'dropout': 0.27850288233397386, 'n_heads': 1, 'dim_feedforward': 64, 'alpha': 1.9584936579770718, 'beta': 1.6615359461899692, 'gamma': 0.40419020139546985, 'pos_weight_scalar': 2.5447223304111204, 'LR_PATIENCE': 12, 'ES_PATIENCE': 7, 'n_blocks': 2}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:44:56,616] Trial 3 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 128, 'contrast_dim': 64, 'mask_ratio': 0.41210354601257027, 'dropout': 0.26470958780753784, 'n_heads': 2, 'dim_feedforward': 512, 'alpha': 4.4488402087933245, 'beta': 0.25707955285490447, 'gamma': 0.18733916045555823, 'pos_weight_scalar': 4.338053042768362, 'LR_PATIENCE': 12, 'ES_PATIENCE': 16, 'n_blocks': 4}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:50:44,904] Trial 4 finished with value: 0.8083700440528634 and parameters: {'embed_dim': 128, 'contrast_dim': 16, 'mask_ratio': 0.6256524373936881, 'dropout': 0.2208405304024153, 'n_heads': 2, 'dim_feedforward': 512, 'alpha': 3.558012791977603, 'beta': 2.6814308992173714, 'gamma': 0.11686647312689633, 'pos_weight_scalar': 3.8516180082355285, 'LR_PATIENCE': 4, 'ES_PATIENCE': 13, 'n_blocks': 2}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:52:14,178] Trial 5 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 256, 'contrast_dim': 64, 'mask_ratio': 0.5819338069234072, 'dropout': 0.14334051024680938, 'n_heads': 1, 'dim_feedforward': 64, 'alpha': 3.3824287572487464, 'beta': 3.2114686214376027, 'gamma': 0.015223998152424978, 'pos_weight_scalar': 3.3390428504683425, 'LR_PATIENCE': 14, 'ES_PATIENCE': 11, 'n_blocks': 4}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:54:57,588] Trial 6 finished with value: 0.7202643171806168 and parameters: {'embed_dim': 128, 'contrast_dim': 32, 'mask_ratio': 0.7034064316792525, 'dropout': 0.42770432426418786, 'n_heads': 1, 'dim_feedforward': 128, 'alpha': 1.5627814362566579, 'beta': 2.419685346961123, 'gamma': 0.052155622155279885, 'pos_weight_scalar': 4.70668930460416, 'LR_PATIENCE': 15, 'ES_PATIENCE': 20, 'n_blocks': 4}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 21:59:25,342] Trial 7 finished with value: 0.8050660792951542 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.22876818728413603, 'dropout': 0.02630280023612963, 'n_heads': 1, 'dim_feedforward': 64, 'alpha': 0.7187298279943891, 'beta': 4.7102990249015315, 'gamma': 0.21540800380966038, 'pos_weight_scalar': 3.7804365547788943, 'LR_PATIENCE': 11, 'ES_PATIENCE': 22, 'n_blocks': 2}. Best is trial 0 with value: 0.8116740088105727.
[I 2026-06-07 22:02:15,600] Trial 8 finished with value: 0.8281938325991189 and parameters: {'embed_dim': 128, 'contrast_dim': 64, 'mask_ratio': 0.6936981143875965, 'dropout': 0.055862642326154566, 'n_heads': 2, 'dim_feedforward': 64, 'alpha': 1.3845599194891998, 'beta': 2.2189909562479233, 'gamma': 0.014766196346739858, 'pos_weight_scalar': 1.2171224292005558, 'LR_PATIENCE': 8, 'ES_PATIENCE': 16, 'n_blocks': 2}. Best is trial 8 with value: 0.8281938325991189.
[I 2026-06-07 22:09:04,392] Trial 9 finished with value: 0.8337004405286343 and parameters: {'embed_dim': 128, 'contrast_dim': 64, 'mask_ratio': 0.39005269381366103, 'dropout': 0.2051123228429575, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 1.9393426316487932, 'beta': 2.949357798976195, 'gamma': 0.29848958779359824, 'pos_weight_scalar': 3.017775518362713, 'LR_PATIENCE': 4, 'ES_PATIENCE': 19, 'n_blocks': 2}. Best is trial 9 with value: 0.8337004405286343.
[I 2026-06-07 22:13:22,262] Trial 10 finished with value: 0.8447136563876652 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.10624473673175505, 'dropout': 0.1674586598920626, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.701557432338966, 'beta': 3.795559148957013, 'gamma': 0.6704761741614713, 'pos_weight_scalar': 1.959430844339172, 'LR_PATIENCE': 3, 'ES_PATIENCE': 24, 'n_blocks': 6}. Best is trial 10 with value: 0.8447136563876652.
[I 2026-06-07 22:18:16,598] Trial 11 finished with value: 0.8237885462555066 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.11752872492228905, 'dropout': 0.18361861677963115, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.581619716950096, 'beta': 3.768572177151446, 'gamma': 0.9811010363318697, 'pos_weight_scalar': 2.174335511433034, 'LR_PATIENCE': 3, 'ES_PATIENCE': 25, 'n_blocks': 6}. Best is trial 10 with value: 0.8447136563876652.
[I 2026-06-07 22:31:20,765] Trial 12 finished with value: 0.8370044052863436 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.429849968309898, 'dropout': 0.3309986642613522, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.695663930834097, 'beta': 3.954039352571366, 'gamma': 0.8725981266533448, 'pos_weight_scalar': 2.4859594436819825, 'LR_PATIENCE': 6, 'ES_PATIENCE': 25, 'n_blocks': 6}. Best is trial 10 with value: 0.8447136563876652.
[I 2026-06-07 22:39:44,973] Trial 13 finished with value: 0.8535242290748899 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.47511609569036334, 'dropout': 0.3656900649235953, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.7619744451783994, 'beta': 3.8757542269427923, 'gamma': 0.7484399817148145, 'pos_weight_scalar': 1.6490586732940211, 'LR_PATIENCE': 6, 'ES_PATIENCE': 25, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 22:54:05,418] Trial 14 finished with value: 0.8480176211453745 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5173225239750566, 'dropout': 0.47300903676729084, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.894768211222253, 'beta': 4.066221710146358, 'gamma': 0.5008674664902508, 'pos_weight_scalar': 1.3420911641710735, 'LR_PATIENCE': 7, 'ES_PATIENCE': 25, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:04:48,258] Trial 15 finished with value: 0.8513215859030837 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.5147850992736882, 'dropout': 0.4731135256438327, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 4.511036907832283, 'beta': 4.330086970069291, 'gamma': 0.4794334916452791, 'pos_weight_scalar': 1.011033471180966, 'LR_PATIENCE': 8, 'ES_PATIENCE': 22, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:07:22,435] Trial 16 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 256, 'contrast_dim': 32, 'mask_ratio': 0.48552547716475575, 'dropout': 0.4963777177715085, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 4.84647442766246, 'beta': 4.468827000774083, 'gamma': 0.09349070757034027, 'pos_weight_scalar': 1.0060189429737618, 'LR_PATIENCE': 9, 'ES_PATIENCE': 19, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:13:55,171] Trial 17 finished with value: 0.8425110132158591 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.3166922672245317, 'dropout': 0.3951957448884532, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 0.15222086918143019, 'beta': 4.362015093944743, 'gamma': 0.5087535276063961, 'pos_weight_scalar': 1.70854554785604, 'LR_PATIENCE': 10, 'ES_PATIENCE': 22, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:20:35,622] Trial 18 finished with value: 0.8314977973568282 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.5195179739198678, 'dropout': 0.3412248451021169, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 4.0817315486127566, 'beta': 3.212210898131611, 'gamma': 0.2923869941123369, 'pos_weight_scalar': 1.6426594231742797, 'LR_PATIENCE': 6, 'ES_PATIENCE': 17, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:29:39,231] Trial 19 finished with value: 0.829295154185022 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.3506461685465142, 'dropout': 0.43968852661833147, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 4.8866052248726, 'beta': 3.535826912257792, 'gamma': 0.053394802049974384, 'pos_weight_scalar': 1.5438115489252595, 'LR_PATIENCE': 6, 'ES_PATIENCE': 22, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:32:20,987] Trial 20 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 256, 'contrast_dim': 32, 'mask_ratio': 0.45178335810156445, 'dropout': 0.33585572440858924, 'n_heads': 2, 'dim_feedforward': 128, 'alpha': 3.189403285997849, 'beta': 4.943167596692317, 'gamma': 0.1495457528327743, 'pos_weight_scalar': 2.115695781457421, 'LR_PATIENCE': 8, 'ES_PATIENCE': 20, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:39:39,154] Trial 21 finished with value: 0.8105726872246696 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5381616138828017, 'dropout': 0.45612631402451165, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.366631732499523, 'beta': 4.258737355496282, 'gamma': 0.5263033382755903, 'pos_weight_scalar': 1.3017502636245657, 'LR_PATIENCE': 7, 'ES_PATIENCE': 24, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:47:42,354] Trial 22 finished with value: 0.8149779735682819 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5556152353677207, 'dropout': 0.4814861984558243, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 3.02917402002132, 'beta': 4.116315389946924, 'gamma': 0.4063174257358352, 'pos_weight_scalar': 1.0553723268428081, 'LR_PATIENCE': 5, 'ES_PATIENCE': 23, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-07 23:55:45,283] Trial 23 finished with value: 0.8403083700440529 and parameters: {'embed_dim': 32, 'contrast_dim': 16, 'mask_ratio': 0.4868796942852027, 'dropout': 0.4089755756443191, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 4.157236394866265, 'beta': 3.46190814012149, 'gamma': 0.6679382801898295, 'pos_weight_scalar': 1.466230378845022, 'LR_PATIENCE': 8, 'ES_PATIENCE': 24, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:01:08,507] Trial 24 finished with value: 0.8259911894273128 and parameters: {'embed_dim': 64, 'contrast_dim': 64, 'mask_ratio': 0.6280667113661696, 'dropout': 0.37180414560927716, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 1.0200100203132991, 'beta': 4.604229267142163, 'gamma': 0.3108180104867423, 'pos_weight_scalar': 1.8483065864023027, 'LR_PATIENCE': 9, 'ES_PATIENCE': 21, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:07:53,204] Trial 25 finished with value: 0.8303964757709251 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.4796718413947494, 'dropout': 0.46716605635959707, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 3.681938371312556, 'beta': 4.052016887901442, 'gamma': 0.7370581194253719, 'pos_weight_scalar': 2.5094533391543115, 'LR_PATIENCE': 7, 'ES_PATIENCE': 25, 'n_blocks': 4}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:16:18,843] Trial 26 finished with value: 0.8513215859030837 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5886812379384885, 'dropout': 0.4993571840809954, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 3.0254250307978348, 'beta': 3.5950004813062777, 'gamma': 0.4270006301591122, 'pos_weight_scalar': 1.358011781675983, 'LR_PATIENCE': 5, 'ES_PATIENCE': 18, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:23:06,656] Trial 27 finished with value: 0.8469162995594713 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5905117486597931, 'dropout': 0.27549590972753457, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 2.2419268577199416, 'beta': 3.2395825760865398, 'gamma': 0.2493622042376893, 'pos_weight_scalar': 1.0309828638418406, 'LR_PATIENCE': 5, 'ES_PATIENCE': 18, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:26:00,366] Trial 28 finished with value: 0.7940528634361234 and parameters: {'embed_dim': 32, 'contrast_dim': 16, 'mask_ratio': 0.6700885423926384, 'dropout': 0.4270441546184822, 'n_heads': 2, 'dim_feedforward': 128, 'alpha': 4.508367591562835, 'beta': 0.11230506642557714, 'gamma': 0.3959067570636427, 'pos_weight_scalar': 2.224352468183315, 'LR_PATIENCE': 5, 'ES_PATIENCE': 13, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:32:44,820] Trial 29 finished with value: 0.8270925110132159 and parameters: {'embed_dim': 64, 'contrast_dim': 32, 'mask_ratio': 0.6464114711601051, 'dropout': 0.30550582295617024, 'n_heads': 4, 'dim_feedforward': 512, 'alpha': 3.880790902205888, 'beta': 3.6167388568484395, 'gamma': 0.5968991622973635, 'pos_weight_scalar': 2.9721282599287475, 'LR_PATIENCE': 4, 'ES_PATIENCE': 15, 'n_blocks': 4}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:33:30,880] Trial 30 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 256, 'contrast_dim': 16, 'mask_ratio': 0.38594978033401867, 'dropout': 0.3732582097450382, 'n_heads': 1, 'dim_feedforward': 128, 'alpha': 3.4399109390126092, 'beta': 0.6406990569289053, 'gamma': 0.9881004987983725, 'pos_weight_scalar': 1.85769421714317, 'LR_PATIENCE': 9, 'ES_PATIENCE': 5, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:40:26,034] Trial 31 finished with value: 0.8303964757709251 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5201661768432679, 'dropout': 0.49800545293760407, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 2.9848773213704827, 'beta': 4.216370292540812, 'gamma': 0.39392975721710166, 'pos_weight_scalar': 1.3566374791341231, 'LR_PATIENCE': 7, 'ES_PATIENCE': 23, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:46:21,216] Trial 32 finished with value: 0.8248898678414097 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5696086954308612, 'dropout': 0.4562502573492626, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 2.893861712971397, 'beta': 4.645223315994174, 'gamma': 0.5447381897569176, 'pos_weight_scalar': 1.4368510016095428, 'LR_PATIENCE': 6, 'ES_PATIENCE': 21, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:49:21,911] Trial 33 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5116009741076725, 'dropout': 0.41208141616317595, 'n_heads': 4, 'dim_feedforward': 512, 'alpha': 2.2794679471753643, 'beta': 4.876558202009372, 'gamma': 0.4412648378842358, 'pos_weight_scalar': 1.2696007068326047, 'LR_PATIENCE': 7, 'ES_PATIENCE': 23, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:54:01,687] Trial 34 finished with value: 0.8259911894273128 and parameters: {'embed_dim': 64, 'contrast_dim': 64, 'mask_ratio': 0.44470011056039727, 'dropout': 0.464301582559216, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 3.12293707864882, 'beta': 2.8801987080558504, 'gamma': 0.1730775792861232, 'pos_weight_scalar': 1.6797665139503175, 'LR_PATIENCE': 10, 'ES_PATIENCE': 20, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 00:59:03,438] Trial 35 finished with value: 0.788546255506608 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.6042063746084887, 'dropout': 0.3901717166690603, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 4.427481551398557, 'beta': 3.9103017907587363, 'gamma': 0.7695188248351762, 'pos_weight_scalar': 1.55347366904682, 'LR_PATIENCE': 5, 'ES_PATIENCE': 25, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:05:24,339] Trial 36 finished with value: 0.8314977973568282 and parameters: {'embed_dim': 32, 'contrast_dim': 16, 'mask_ratio': 0.4717592531548189, 'dropout': 0.44072143848727824, 'n_heads': 4, 'dim_feedforward': 64, 'alpha': 3.897045008470495, 'beta': 3.3553763446024205, 'gamma': 0.3000208793232813, 'pos_weight_scalar': 1.9636308679177557, 'LR_PATIENCE': 8, 'ES_PATIENCE': 18, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:08:32,784] Trial 37 finished with value: 0.7940528634361234 and parameters: {'embed_dim': 64, 'contrast_dim': 64, 'mask_ratio': 0.7325154303225443, 'dropout': 0.3585344821070467, 'n_heads': 1, 'dim_feedforward': 512, 'alpha': 1.7507400043380896, 'beta': 1.2158523527410103, 'gamma': 0.366102045318773, 'pos_weight_scalar': 1.2128786389625914, 'LR_PATIENCE': 6, 'ES_PATIENCE': 10, 'n_blocks': 4}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:13:50,101] Trial 38 finished with value: 0.829295154185022 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.5517166233096955, 'dropout': 0.11360358975167784, 'n_heads': 2, 'dim_feedforward': 128, 'alpha': 2.4839223610850585, 'beta': 2.9758281354622484, 'gamma': 0.21206007303026198, 'pos_weight_scalar': 2.3349125109949194, 'LR_PATIENCE': 4, 'ES_PATIENCE': 14, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:17:21,144] Trial 39 finished with value: 0.7841409691629956 and parameters: {'embed_dim': 128, 'contrast_dim': 64, 'mask_ratio': 0.2656095802416185, 'dropout': 0.2574607574847374, 'n_heads': 1, 'dim_feedforward': 64, 'alpha': 3.339208004260779, 'beta': 2.502191361941321, 'gamma': 0.5089824856435565, 'pos_weight_scalar': 2.833497832811095, 'LR_PATIENCE': 12, 'ES_PATIENCE': 21, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:20:28,815] Trial 40 finished with value: 0.7951541850220264 and parameters: {'embed_dim': 256, 'contrast_dim': 64, 'mask_ratio': 0.6552165611286883, 'dropout': 0.47638292318857284, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 3.6912819494148565, 'beta': 1.9635144618984008, 'gamma': 0.019905569141258524, 'pos_weight_scalar': 1.187403415414421, 'LR_PATIENCE': 7, 'ES_PATIENCE': 23, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
