[I 2026-08-11 15:59:16,524] A new study created in RDB with name: cmae_optimize_freq
[I 2026-08-11 16:59:04,576] Trial 0 finished with value: 0.5833333333333334 and parameters: {'embed_dim': 128, 'dec_emb_frac': 1.0, 'contrast_dim': 32, 'mask_ratio': 0.11648132311020871, 'dropout': 0.35966377192137716, 'n_enc_heads': 4, 'n_dec_frac': 0.25, 'dim_feedforward': 256, 'dim_feedforward_dec_frac': 0.25, 'beta': 4.468896459299643, 'gamma': 0.11796768563975978, 'pos_weight_scalar': 2.913832512674661, 'focal_gamma': -0.557019493128021, 'n_enc_blocks': 4, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.6908813624537056, 'lr': 0.0005516809610884213, 'weight_decay': 0.00695889819919248}. Best is trial 0 with value: 0.5833333333333334.
[I 2026-08-11 17:36:41,675] Trial 1 finished with value: 0.3553299492385787 and parameters: {'embed_dim': 256, 'dec_emb_frac': 1.0, 'contrast_dim': 16, 'mask_ratio': 0.6819455790344539, 'dropout': 0.09966937316314373, 'n_enc_heads': 2, 'n_dec_frac': 1.0, 'dim_feedforward': 256, 'dim_feedforward_dec_frac': 1.0, 'beta': 4.733066288701011, 'gamma': 0.02773146954876014, 'pos_weight_scalar': 3.7071093787610363, 'focal_gamma': 1.8333266119159353, 'n_enc_blocks': 8, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.5123326216332753, 'lr': 0.0008191289123630055, 'weight_decay': 0.00022013881730172726}. Best is trial 0 with value: 0.5833333333333334.
[I 2026-08-11 18:38:58,832] Trial 2 finished with value: 0.5088 and parameters: {'embed_dim': 32, 'dec_emb_frac': 1.0, 'contrast_dim': 16, 'mask_ratio': 0.5758703712517274, 'dropout': 0.36116177403265665, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 256, 'dim_feedforward_dec_frac': 0.25, 'beta': 8.722198198505467, 'gamma': 0.4702368384489086, 'pos_weight_scalar': 1.416148764158386, 'focal_gamma': 2.6136803411306366, 'n_enc_blocks': 4, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.8995647664436413, 'lr': 0.0014990745718188355, 'weight_decay': 0.0003499262949295836}. Best is trial 0 with value: 0.5833333333333334.
[I 2026-08-11 19:32:34,526] Trial 3 finished with value: 0.3553299492385787 and parameters: {'embed_dim': 512, 'dec_emb_frac': 0.5, 'contrast_dim': 16, 'mask_ratio': 0.6039225204564183, 'dropout': 0.1695501914813728, 'n_enc_heads': 4, 'n_dec_frac': 0.5, 'dim_feedforward': 128, 'dim_feedforward_dec_frac': 0.5, 'beta': 2.7805934233371628, 'gamma': 0.07313920488550567, 'pos_weight_scalar': 2.629252172255905, 'focal_gamma': 0.9141773100657966, 'n_enc_blocks': 6, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.7673136579781652, 'lr': 0.0012302963144220002, 'weight_decay': 0.00011077700087705124}. Best is trial 0 with value: 0.5833333333333334.
[I 2026-08-11 20:17:46,308] Trial 4 finished with value: 0.6639676113360324 and parameters: {'embed_dim': 512, 'dec_emb_frac': 1.0, 'contrast_dim': 16, 'mask_ratio': 0.702743253303761, 'dropout': 0.22669878705286783, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 256, 'dim_feedforward_dec_frac': 1.0, 'beta': 4.864926302213311, 'gamma': 0.8794361263575147, 'pos_weight_scalar': 2.8063238123127396, 'focal_gamma': 1.6753087350367264, 'n_enc_blocks': 2, 'n_dec_block_frac': 0.25, 'pretrain_frac': 0.6229983091610239, 'lr': 0.0007332753953932288, 'weight_decay': 0.0053487170203310045}. Best is trial 4 with value: 0.6639676113360324.
[I 2026-08-11 21:18:43,894] Trial 5 finished with value: 0.3553299492385787 and parameters: {'embed_dim': 32, 'dec_emb_frac': 0.5, 'contrast_dim': 64, 'mask_ratio': 0.2928502672398853, 'dropout': 0.39837405681755717, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 256, 'dim_feedforward_dec_frac': 0.25, 'beta': 7.2095312604773065, 'gamma': 0.04145832770089607, 'pos_weight_scalar': 2.154539201925068, 'focal_gamma': -0.7833328242126574, 'n_enc_blocks': 8, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.8870580910129728, 'lr': 0.0023840624749351417, 'weight_decay': 0.0001916759902254646}. Best is trial 4 with value: 0.6639676113360324.
[I 2026-08-11 22:09:26,539] Trial 6 finished with value: 0.6833013435700576 and parameters: {'embed_dim': 128, 'dec_emb_frac': 0.5, 'contrast_dim': 16, 'mask_ratio': 0.6815050308923205, 'dropout': 0.3524695926572554, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 256, 'dim_feedforward_dec_frac': 0.25, 'beta': 7.177398443236179, 'gamma': 0.8332249802806407, 'pos_weight_scalar': 1.049190619862436, 'focal_gamma': 0.5729276256301645, 'n_enc_blocks': 4, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.7181666193075307, 'lr': 0.00031680782322865344, 'weight_decay': 0.0015089825133937525}. Best is trial 6 with value: 0.6833013435700576.
[I 2026-08-11 23:11:34,220] Trial 7 finished with value: 0.6608996539792388 and parameters: {'embed_dim': 32, 'dec_emb_frac': 1.0, 'contrast_dim': 64, 'mask_ratio': 0.1956783942417341, 'dropout': 0.041172544946761036, 'n_enc_heads': 4, 'n_dec_frac': 1.0, 'dim_feedforward': 64, 'dim_feedforward_dec_frac': 0.5, 'beta': 4.53858700659492, 'gamma': 0.028353030309666332, 'pos_weight_scalar': 3.17710403736746, 'focal_gamma': 2.0395144772342872, 'n_enc_blocks': 2, 'n_dec_block_frac': 1.0, 'pretrain_frac': 0.8855175938768187, 'lr': 0.0001589782296591153, 'weight_decay': 0.00013927158626094298}. Best is trial 6 with value: 0.6833013435700576.
[I 2026-08-12 00:00:59,646] Trial 8 finished with value: 0.3553299492385787 and parameters: {'embed_dim': 64, 'dec_emb_frac': 0.5, 'contrast_dim': 16, 'mask_ratio': 0.3379588043014768, 'dropout': 0.3506408038708436, 'n_enc_heads': 4, 'n_dec_frac': 1.0, 'dim_feedforward': 512, 'dim_feedforward_dec_frac': 1.0, 'beta': 2.2286969964414665, 'gamma': 0.010453717193978362, 'pos_weight_scalar': 2.2611914569496094, 'focal_gamma': 0.15775022419527662, 'n_enc_blocks': 8, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.7025311515786105, 'lr': 0.0027305021815825616, 'weight_decay': 0.004846348172161165}. Best is trial 6 with value: 0.6833013435700576.
[I 2026-08-12 01:01:10,165] Trial 9 finished with value: 0.6678700361010831 and parameters: {'embed_dim': 32, 'dec_emb_frac': 0.25, 'contrast_dim': 32, 'mask_ratio': 0.5515063666521995, 'dropout': 0.368014259544116, 'n_enc_heads': 2, 'n_dec_frac': 0.5, 'dim_feedforward': 512, 'dim_feedforward_dec_frac': 1.0, 'beta': 8.64177903958922, 'gamma': 0.07579499498808062, 'pos_weight_scalar': 4.537418902146635, 'focal_gamma': 2.3584984811661083, 'n_enc_blocks': 6, 'n_dec_block_frac': 0.5, 'pretrain_frac': 0.8528007329010394, 'lr': 0.00015141247263685906, 'weight_decay': 0.00029300553732439374}. Best is trial 6 with value: 0.6833013435700576.
[I 2026-08-12 01:38:20,697] Trial 10 finished with value: 0.6932270916334662 and parameters: {'embed_dim': 128, 'dec_emb_frac': 0.25, 'contrast_dim': 32, 'mask_ratio': 0.3983861815408756, 'dropout': 0.4973770681467252, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 64, 'dim_feedforward_dec_frac': 0.25, 'beta': 0.4986721156070679, 'gamma': 0.24046737870661383, 'pos_weight_scalar': 1.156906203155315, 'focal_gamma': 0.8318490826410766, 'n_enc_blocks': 4, 'n_dec_block_frac': 0.25, 'pretrain_frac': 0.5030772305931237, 'lr': 0.0003159650852615614, 'weight_decay': 0.001012709828044034}. Best is trial 10 with value: 0.6932270916334662.
[I 2026-08-12 02:16:49,978] Trial 11 finished with value: 0.6915520628683693 and parameters: {'embed_dim': 128, 'dec_emb_frac': 0.25, 'contrast_dim': 32, 'mask_ratio': 0.42465164457259835, 'dropout': 0.4774621037903358, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 64, 'dim_feedforward_dec_frac': 0.25, 'beta': 0.4566232803946738, 'gamma': 0.29198256144758244, 'pos_weight_scalar': 1.0652324087558838, 'focal_gamma': 0.755249011951711, 'n_enc_blocks': 4, 'n_dec_block_frac': 0.25, 'pretrain_frac': 0.5320205595425403, 'lr': 0.0003272724326830091, 'weight_decay': 0.001279363538584511}. Best is trial 10 with value: 0.6932270916334662.
[I 2026-08-12 02:54:06,370] Trial 12 finished with value: 0.6678765880217786 and parameters: {'embed_dim': 128, 'dec_emb_frac': 0.25, 'contrast_dim': 32, 'mask_ratio': 0.4370838976971697, 'dropout': 0.4972712813142084, 'n_enc_heads': 1, 'n_dec_frac': 0.25, 'dim_feedforward': 64, 'dim_feedforward_dec_frac': 0.25, 'beta': 0.16422508363123178, 'gamma': 0.24302006449511446, 'pos_weight_scalar': 1.685739180807883, 'focal_gamma': 1.1578809104264276, 'n_enc_blocks': 4, 'n_dec_block_frac': 0.25, 'pretrain_frac': 0.5110008782040583, 'lr': 0.0002974726683838619, 'weight_decay': 0.0010028752408470978}. Best is trial 10 with value: 0.6932270916334662.
