frb_id,tsne_1,tsne_2,label
FRB20180725A,48.56582,-31.10241,0
FRB20180727A,23.915197,-13.908967,0
FRB20180729A,72.35626,-21.697403,0
FRB20180729B,2.141238,-41.408676,0
FRB20180730A,55.537506,16.126253,0
FRB20180801A,-4.4033346,-0.27866766,0
FRB20180806A,33.6563,-19.911612,0
FRB20180810A,-22.671211,-8.341555,0
FRB20180810B,69.84799,-31.68177,0
FRB20180812A,22.83268,15.610677,0
FRB20180814A,-70.823975,-9.033551,1
FRB20180814B,43.067604,-0.4978495,0
FRB20180817A,31.159695,38.512283,0
FRB20180904A,65.54801,-19.803171,0
FRB20180906A,19.657167,-21.586588,0
FRB20180906B,4.806413,12.25292,0
FRB20180907A,-8.255509,-30.69602,0
FRB20180907B,26.997782,-9.665893,0
FRB20180907C,-26.26986,-7.612586,0
FRB20180907D,7.099984,6.846589,0
FRB20180907E,-15.626304,19.705662,0
FRB20180908B,-67.83202,-11.895693,1
FRB20180909A,5.9337344,3.5540082,0
FRB20180910A,60.186005,-15.949524,1
FRB20180911A,33.621586,0.18108216,0
FRB20180911C,-41.38849,12.963379,1
FRB20180912A,-19.320719,47.32157,0
FRB20180915A,34.052814,-6.083537,0
FRB20180915B,-24.200739,-11.87444,0
FRB20180916A,25.181234,-40.216255,0
FRB20180916B,-53.000145,-6.0182977,1
FRB20180916C,-24.707073,-0.9961753,0
FRB20180917A,-85.5185,-3.735585,1
FRB20180917B,33.093044,14.148707,0
FRB20180918A,40.551147,-16.454481,0
FRB20180919A,-70.86048,17.063568,1
FRB20180919B,24.161528,-29.487389,0
FRB20180920A,-0.6125911,25.04965,0
FRB20180920B,-35.30067,20.722195,0
FRB20180921A,19.662708,-8.242577,0
FRB20180922A,-16.72902,39.052116,0
FRB20180923A,5.2371254,-39.754917,0
FRB20180923C,2.4062378,-36.564045,0
FRB20180923D,65.08626,-26.806065,0
FRB20180924A,39.27611,-20.154953,0
FRB20180925A,9.269093,23.48591,0
FRB20180925B,0.36327988,-32.203075,0
FRB20180928A,-12.241928,-29.156939,0
FRB20181012B,-10.714505,-1.1966515,0
FRB20181013A,26.11328,-39.340652,0
FRB20181013B,-6.5568547,37.02456,0
FRB20181013C,21.259188,-4.1394186,0
FRB20181013E,-13.866549,10.420819,0
FRB20181014A,-18.830233,-22.071453,0
FRB20181014B,51.263824,-4.500783,0
FRB20181014C,24.059202,-13.67185,0
FRB20181014D,34.996494,0.6049245,0
FRB20181015A,19.42689,-13.254621,0
FRB20181017A,-32.068928,30.721504,1
FRB20181017B,-28.766563,17.615088,0
FRB20181018A,16.507915,19.739964,0
FRB20181018B,61.46554,-22.396826,1
FRB20181018C,22.95848,-43.88477,0
FRB20181019A,-67.87821,-8.030543,1
FRB20181019B,17.469448,-9.1645355,0
FRB20181019C,17.038633,-17.07131,0
FRB20181020A,21.267128,6.2487617,0
FRB20181022A,3.92209,-22.751892,0
FRB20181022C,24.215528,-7.862302,0
FRB20181022D,50.200745,-29.102242,0
FRB20181022E,-2.3993142,-32.609756,0
FRB20181022F,10.870027,-25.635435,0
FRB20181025A,28.363428,-28.815636,0
FRB20181027A,6.6639495,19.44581,0
FRB20181028A,-89.0357,-13.816233,1
FRB20181030A,-33.410168,10.9108515,1
FRB20181030B,-62.89791,-8.995929,1
FRB20181030C,21.618187,-23.588507,0
FRB20181030D,42.21131,-14.738745,0
FRB20181030E,-0.63580906,-4.5088277,0
FRB20181101A,-72.11148,22.071985,0
FRB20181102A,4.1903915,-7.0392413,0
FRB20181104A,-57.511494,-14.606144,1
FRB20181104B,-50.800217,19.174221,1
FRB20181104C,70.79637,-13.692138,0
FRB20181115A,-34.98676,-1.2031119,0
FRB20181116A,21.313572,-44.753937,0
FRB20181116B,-30.29902,5.37102,0
FRB20181117A,30.167439,15.31308,0
FRB20181117B,22.197718,18.63581,0
FRB20181117C,48.69084,-29.04508,0
FRB20181118A,6.0834785,13.3620615,0
FRB20181118B,37.237846,-12.711853,0
FRB20181118C,-78.027176,11.73471,1
FRB20181119A,-72.18219,4.306553,1
FRB20181119B,36.376526,39.81354,0
FRB20181119C,22.932325,-43.819504,0
FRB20181119D,-28.094103,22.461521,0
FRB20181119E,13.034242,-26.760967,0
FRB20181120B,-46.92249,7.1471095,1
FRB20181120C,-43.775887,11.080786,1
FRB20181122A,20.295536,-8.928827,0
FRB20181122B,71.41059,-17.698307,0
FRB20181123A,10.237329,-39.428345,0
FRB20181124A,-0.41078782,4.5595717,0
FRB20181124B,44.428284,-12.622658,0
FRB20181125A,-46.53214,1.7245377,0
FRB20181126A,64.54356,-31.41417,0
FRB20181127A,40.060856,-28.187359,0
FRB20181128A,-37.813393,12.996681,1
FRB20181128B,29.555058,-19.184721,0
FRB20181128C,-39.154057,15.778133,0
FRB20181128D,57.535126,1.9699503,0
FRB20181129A,67.47308,-38.07835,0
FRB20181129B,-24.669,-14.964144,0
FRB20181129C,40.435013,14.803893,0
FRB20181130A,4.897169,-38.638554,0
FRB20181201A,-11.173788,43.77374,0
FRB20181201B,39.010246,-8.821741,0
FRB20181201D,2.2111018,-26.963236,1
FRB20181202A,44.537632,18.145374,0
FRB20181202B,6.894596,18.46343,0
FRB20181202C,23.773998,27.808207,0
FRB20181203A,34.982456,0.4298553,0
FRB20181203B,44.630383,-28.928957,0
FRB20181203C,36.926716,12.629831,0
FRB20181208A,49.63709,-10.245691,0
FRB20181208C,-16.195972,51.95594,0
FRB20181209A,60.634113,-33.275604,0
FRB20181213A,41.446564,-7.7236924,0
FRB20181213B,17.512543,5.8390775,0
FRB20181213C,30.286907,-8.208056,0
FRB20181214A,-24.105907,-13.095724,0
FRB20181214B,11.913263,-10.687092,0
FRB20181214C,43.879143,14.326563,0
FRB20181214D,27.544582,32.088005,0
FRB20181214F,-23.122955,3.212204,0
FRB20181215A,19.912497,-6.5937424,0
FRB20181215B,55.848263,-20.141977,0
FRB20181216A,23.965517,-8.683523,0
FRB20181217A,39.64106,-20.295252,0
FRB20181218A,-21.701704,-14.946736,0
FRB20181218B,17.956491,2.9023452,0
FRB20181218C,-1.3225347,7.1651626,0
FRB20181219A,-5.1260056,23.885761,1
FRB20181219B,4.7201324,18.728579,0
FRB20181219C,36.58564,14.423265,0
FRB20181220A,60.090687,-33.645863,0
FRB20181220B,23.539953,-39.06514,0
FRB20181221A,52.987724,7.997063,0
FRB20181221B,67.38012,1.4655674,0
FRB20181222A,-84.449684,-15.863603,1
FRB20181222B,5.557387,-16.071001,0
FRB20181222C,30.332392,-7.87158,0
FRB20181222D,-7.226254,25.212717,0
FRB20181222E,54.53376,-25.373674,0
FRB20181223A,-49.634163,-9.598254,1
FRB20181223B,-40.981243,11.1597595,0
FRB20181223C,49.9285,-16.533352,0
FRB20181224A,69.35001,-15.880315,0
FRB20181224B,27.349367,27.995232,0
FRB20181224C,16.53024,38.845226,0
FRB20181224D,22.546888,-6.751278,0
FRB20181224E,58.98033,-18.715488,0
FRB20181225A,-53.835316,0.97704774,1
FRB20181225B,46.414608,-5.2302403,0
FRB20181226A,-45.598938,2.3295774,1
FRB20181226B,54.277985,19.466484,0
FRB20181226D,50.11301,-20.606525,0
FRB20181226E,-18.492937,-11.036703,0
FRB20181226G,50.6174,-5.825627,0
FRB20181227A,15.860247,-23.791407,0
FRB20181228A,29.620638,-10.794055,0
FRB20181228B,-8.35018,17.903036,0
FRB20181228C,19.659048,-29.443796,0
FRB20181229A,41.658382,13.093815,0
FRB20181229B,-12.844724,27.95236,0
FRB20181230A,-4.8292904,37.78338,0
FRB20181230B,32.476566,13.132692,0
FRB20181230C,32.70915,-24.33654,0
FRB20181230D,32.056213,-0.6308881,0
FRB20181230E,24.315506,20.649576,0
FRB20181231A,60.266846,-21.430462,0
FRB20181231B,45.664375,-12.586577,0
FRB20181231C,41.48874,-22.057323,0
FRB20190101A,14.279475,41.15226,0
FRB20190101B,-19.39344,-20.972055,0
FRB20190102A,-4.51752,-0.58474606,0
FRB20190102B,65.50351,-40.770336,0
FRB20190103A,-40.793148,10.559955,1
FRB20190103B,14.436395,34.085686,0
FRB20190103C,45.989025,14.865179,0
FRB20190103D,29.92884,-8.9060335,0
FRB20190103E,22.243141,3.7489324,0
FRB20190104A,46.03199,-19.373856,0
FRB20190104B,7.4767284,12.494264,0
FRB20190105A,17.314198,19.405603,0
FRB20190106A,-21.206484,15.906591,0
FRB20190106B,52.564606,-31.700245,0
FRB20190107A,-21.540247,42.21911,0
FRB20190107B,19.446638,-38.409218,0
FRB20190109A,29.88912,-5.9307246,0
FRB20190109B,11.236891,19.24794,0
FRB20190110A,-12.715464,-29.148958,0
FRB20190110B,19.739864,19.207535,0
FRB20190110C,-7.001638,-26.634382,1
FRB20190111A,58.660652,16.425253,0
FRB20190111B,49.377346,-9.927531,0
FRB20190112A,44.48483,23.11299,0
FRB20190113A,-22.892012,16.07021,1
FRB20190114A,-19.961325,0.41025868,0
FRB20190115A,19.887087,-20.407955,0
FRB20190115B,40.965954,-8.053052,0
FRB20190116A,-69.83649,9.546886,1
FRB20190116B,-43.057888,16.515238,1
FRB20190116C,-57.649708,-14.571698,0
FRB20190116D,18.716333,21.959322,0
FRB20190116E,24.17351,-12.9625845,0
FRB20190116F,32.9643,-21.153156,0
FRB20190117A,-57.338963,-15.410227,1
FRB20190117C,7.281323,-20.012117,0
FRB20190117D,-4.5225983,7.004215,0
FRB20190118A,71.11024,-22.104189,0
FRB20190118B,5.2968793,34.362507,0
FRB20190121A,47.953983,15.873912,0
FRB20190122A,-4.098474,39.051113,0
FRB20190122B,15.751635,-8.774588,0
FRB20190122C,37.72607,36.74216,0
FRB20190124A,20.429274,36.184616,0
FRB20190124B,35.569748,32.16622,0
FRB20190124C,54.566566,22.129967,0
FRB20190124D,-9.174927,-14.640471,0
FRB20190124E,3.1315212,14.035609,0
FRB20190124F,62.57684,-19.76703,0
FRB20190125A,-16.804651,44.09671,0
FRB20190125B,51.905834,7.320909,0
