frb_id,tsne_1,tsne_2,label
FRB20180725A,37.515026,28.698206,0
FRB20180727A,-13.064206,21.54284,0
FRB20180729A,-4.947781,32.080173,0
FRB20180729B,-12.661025,16.216927,0
FRB20180730A,-0.09091904,30.736687,0
FRB20180801A,41.43396,16.44844,0
FRB20180806A,7.9168134,64.99876,0
FRB20180810A,-10.412926,17.958313,0
FRB20180810B,0.53013384,64.22613,0
FRB20180812A,-47.311256,11.705347,0
FRB20180814A,2.663322,61.65513,1
FRB20180814B,40.9736,14.214766,0
FRB20180817A,46.5036,29.37781,0
FRB20180904A,12.804783,35.58152,0
FRB20180906A,-11.037973,17.817194,0
FRB20180906B,43.589275,47.929905,0
FRB20180907A,13.72781,34.6226,0
FRB20180907B,-5.4225235,23.70347,0
FRB20180907C,-7.9954143,19.26839,0
FRB20180907D,-6.8902736,15.842722,0
FRB20180907E,43.505413,47.03221,0
FRB20180908B,14.235796,34.550453,1
FRB20180909A,-17.631603,12.079286,0
FRB20180910A,12.667716,35.29724,1
FRB20180911A,1.70065,-22.489775,0
FRB20180911C,14.706472,34.256508,1
FRB20180912A,-0.91078895,-10.949654,0
FRB20180915A,14.115855,34.22922,0
FRB20180915B,-57.305954,11.097771,0
FRB20180916A,17.623907,13.797205,0
FRB20180916B,14.020663,35.038166,1
FRB20180916C,-7.6237803,15.642492,0
FRB20180917A,15.218677,34.44863,1
FRB20180917B,-0.6613335,16.486534,0
FRB20180918A,43.117954,48.677715,0
FRB20180919A,-50.017124,1.9419352,1
FRB20180919B,-10.384116,24.949497,0
FRB20180920A,-3.838164,11.615715,0
FRB20180920B,-50.026764,2.090545,0
FRB20180921A,14.071626,35.37002,0
FRB20180922A,-14.228141,12.261768,0
FRB20180923A,-18.213167,25.226841,0
FRB20180923C,-35.253994,21.597485,0
FRB20180923D,12.994542,34.84487,0
FRB20180924A,-7.628997,20.159925,0
FRB20180925A,-0.8903548,5.909092,0
FRB20180925B,-15.972618,21.841755,0
FRB20180928A,13.475018,34.773582,0
FRB20181012B,14.010437,34.772892,0
FRB20181013A,-8.480388,25.512482,0
FRB20181013B,15.158284,33.228977,0
FRB20181013C,-12.53016,21.770086,0
FRB20181013E,-21.362074,17.348368,0
FRB20181014A,17.087698,14.700675,0
FRB20181014B,-4.665874,24.354979,0
FRB20181014C,-14.911297,17.376415,0
FRB20181014D,1.3778641,-24.33825,0
FRB20181015A,-8.956725,20.035208,0
FRB20181017A,44.109943,47.029163,1
FRB20181017B,-3.9047756,11.615287,0
FRB20181018A,43.633305,47.958588,0
FRB20181018B,-7.0625343,26.711588,1
FRB20181018C,43.347977,47.773014,0
FRB20181019A,13.996551,32.77738,1
FRB20181019B,-15.524351,22.818808,0
FRB20181019C,14.25796,33.97948,0
FRB20181020A,-3.7530107,15.735779,0
FRB20181022A,-13.704254,21.91983,0
FRB20181022C,-9.36741,20.56459,0
FRB20181022D,-1.1875572,23.354229,0
FRB20181022E,43.42931,47.744957,0
FRB20181022F,43.715664,47.996693,0
FRB20181025A,17.700947,14.155808,0
FRB20181027A,-13.358511,3.8682761,0
FRB20181028A,-55.898434,0.44614354,1
FRB20181030A,13.640917,36.582523,1
FRB20181030B,44.237698,48.55602,1
FRB20181030C,-8.967282,18.309729,0
FRB20181030D,43.20528,48.64924,0
FRB20181030E,43.771095,48.446507,0
FRB20181101A,15.335957,32.89652,0
FRB20181102A,44.57258,48.066746,0
FRB20181104A,-53.057194,-12.153028,1
FRB20181104B,14.423903,34.555397,1
FRB20181104C,43.4803,49.356636,0
FRB20181115A,43.215538,47.754955,0
FRB20181116A,44.24919,48.207882,0
FRB20181116B,44.25457,47.823883,0
FRB20181117A,14.285649,34.006073,0
FRB20181117B,13.738723,36.728607,0
FRB20181117C,14.1795845,33.571404,0
FRB20181118A,43.73803,48.707573,0
FRB20181118B,43.08204,48.123585,0
FRB20181118C,14.9217825,33.299034,1
FRB20181119A,43.110527,47.992134,1
FRB20181119B,17.375744,35.748055,0
FRB20181119C,43.25668,47.651886,0
FRB20181119D,14.987074,34.082554,0
FRB20181119E,43.305126,48.193977,0
FRB20181120B,-7.157399,13.374355,1
FRB20181120C,-12.6922655,2.4210281,1
FRB20181122A,13.9750805,33.92884,0
FRB20181122B,-3.5412118,31.956388,0
FRB20181123A,42.937977,47.84028,0
FRB20181124A,-8.407617,16.891613,0
FRB20181124B,1.7087299,-22.548798,0
